Year,Yearday,Station,Event,EventLabel,Latitude,Longitude,Depth,Variable,Value,waterMass
2017,209,HG_IV,13,PS107_006_08,79.3047,4.20083,10,PON,1.05214285714286,Atlantic
2017,209,HG_IV,13,PS107_006_08,79.3047,4.20083,25,chl_a,0.354,Atlantic
2017,209,HG_IV,13,PS107_006_08,79.3047,4.20083,25,POC,4.93333333333333,Atlantic
2017,209,HG_IV,13,PS107_006_08,79.3047,4.20083,25,PON,0.72,Atlantic
2017,209,HG_IV,13,PS107_006_08,79.3047,4.20083,40,chl_a,0.268,Atlantic
2017,209,HG_IV,13,PS107_006_08,79.3047,4.20083,40,POC,4.76166666666667,Atlantic
2017,209,HG_IV,13,PS107_006_08,79.3047,4.20083,40,PON,0.618571428571429,Atlantic
2017,209,HG_IV,13,PS107_006_08,79.3047,4.20083,55,chl_a,0.403,Atlantic
2017,209,HG_IV,13,PS107_006_08,79.3047,4.20083,55,POC,5.06166666666667,Atlantic
2017,209,HG_IV,13,PS107_006_08,79.3047,4.20083,55,PON,0.715714285714286,Atlantic
2017,209,HG_IV,13,PS107_006_08,79.3047,4.20083,100,chl_a,0.036,Atlantic
2017,209,HG_IV,13,PS107_006_08,79.3047,4.20083,100,POC,2.05583333333333,Atlantic
2017,209,HG_IV,13,PS107_006_08,79.3047,4.20083,100,PON,0.281428571428571,Atlantic
2017,209,HG_V,14,PS107_007_01 ,79.1039,3.99222,10,chl_a,2.466,Atlantic
2017,209,HG_V,14,PS107_007_01 ,79.1039,3.99222,10,POC,28.1591666666667,Atlantic
2017,209,HG_V,14,PS107_007_01 ,79.1039,3.99222,10,PON,3.98428571428571,Atlantic
2017,209,HG_V,14,PS107_007_01 ,79.1039,3.99222,20,chl_a,1.974,Atlantic
2017,209,HG_V,14,PS107_007_01 ,79.1039,3.99222,20,POC,14.44,Atlantic
2017,209,HG_V,14,PS107_007_01 ,79.1039,3.99222,20,PON,2.09071428571429,Atlantic
2017,209,HG_V,14,PS107_007_01 ,79.1039,3.99222,30,chl_a,1.251,Atlantic
2017,209,HG_V,14,PS107_007_01 ,79.1039,3.99222,30,POC,9.85166666666667,Atlantic
