Cruise,Station,Longitude_E,Latitude_N,Bottle,Depth,NO3_NO2,QF_NO3_NO2,NO3_NO2_stdDev,QF_NO3_NO2_stdDev,NO3_NO2_CF,QF_NO3_NO2_CF,NO3_NO2_C,QF_NO3_NO2_C,NO3_NO2_C_stdDev,QF_NO3_NO2_C_stdDev,PO4,QF_PO4,PO4_stdDev,QF_PO4_stdDev,PO4_CF,QF_PO4_CF,PO4_C,QF_PO4_C,PO4_C_stdDev,QF_PO4_C_stdDev,NO2,QF_NO2,NO2_stdDev,QF_NO2_stdDev,NO2_CF,QF_NO2_CF,NO2_C,QF_NO2_C,NO2_C_stdDev,QF_NO2_C_stdDev,Si_OH4,QF_Si_OH4, Si_OH4_stdDev,QF_Si_OH4_stdDev,Si_OH4_CF,QF_Si_OH4_CF,Si_OH4_C,QF_Si_OH4_C,Si_OH4_C_stdDev,QF_Si_OH4_C_stdDev,NH4,QF_NH4,NH4_stdDev,QF_NH4_stdDev,NH4_CF,QF_NH4_CF,NH4_C,QF_NH4_C,NH4_C_stdDev,QF_NH4_C_stdDev
PS114,009_01,5.0413,78.6067,15,30,0.34,0,0,0,1,0,0.34,0,0,0,0.286,0,0.005,0,0.9087,0,0.259,0,0.004,0,0.024,0,0,0,0.7291,0,0.017,0,0,0,2.585,0,0.007,0,1.0554,0,2.728,0,0.007,0,1.069,1,0.008,1,0.9748,1,1.042,1,0.008,
PS114,009_01,5.0413,78.6067,8,75,7.195,0,0.007,0,1,0,7.195,0,0.007,0,0.644,0,0.001,0,0.9087,0,0.585,0,0.001,0,0.227,0,0,0,0.7291,0,0.166,0,0,0,3.695,0,0.007,0,1.0554,0,3.9,0,0.007,0,1.839,1,0.009,1,0.9748,1,1.792,1,0.009,
PS114,009_01,5.0413,78.6067,5,100,10.78,0,0,0,1,0,10.78,0,0,0,0.819,0,0.003,0,0.9087,0,0.744,0,0.003,0,0.256,0,0,0,0.7291,0,0.187,0,0,0,4.14,0,0.014,0,1.0554,0,4.369,0,0.015,0,1.349,1,0.001,1,0.9748,1,1.315,1,0.001,
PS114,009_01,5.0413,78.6067,3,250,12.58,0,0,0,1,0,12.58,0,0,0,0.909,0,0.002,0,0.9087,0,0.826,0,0.002,0,0.058,0,0,0,0.7291,0,0.042,0,0,0,4.92,0,0.014,0,1.0554,0,5.193,0,0.015,0,0.394,1,0.01,1,0.9748,1,0.384,1,0.01,
PS114,009_01,5.0413,78.6067,2,500,12.77,0,0,0,1,0,12.77,0,0,0,0.944,0,0.003,0,0.9087,0,0.858,0,0.003,0,0.018,0,0,0,0.7291,0,0.013,0,0,0,5.71,0,0,0,1.0554,0,6.026,0,0,0,0.409,1,0.001,1,0.9748,1,0.398,1,0.001,
PS114,009_01,5.0413,78.6067,1,700,13.435,0,0.035,0,1,0,13.435,0,0.035,0,1,0,0.002,0,0.9087,0,0.908,0,0.002,0,0.009,0,0.001,0,0.7291,0,0.006,0,0.001,0,6.69,0,0.014,0,1.0554,0,7.061,0,0.015,0,0.361,1,0.001,1,0.9748,1,0.351,1,0.001,
PS114,009_04,5.047,78.6073,22,250,12.54,0,0.014,0,1,0,12.54,0,0.014,0,0.912,0,0.004,0,0.9087,0,0.829,0,0.004,0,0.065,0,0.001,0,0.7291,0,0.047,0,0.001,0,4.88,0,0.014,0,1.0554,0,5.15,0,0.015,0,0.417,1,0.003,1,0.9748,1,0.407,1,0.003,
PS114,009_04,5.047,78.6073,18,500,12.755,0,0.064,0,1,0,12.755,0,0.064,0,0.945,0,0.003,0,0.9087,0,0.859,0,0.003,0,0.014,0,0,0,0.7291,0,0.01,0,0,0,5.8,0,0.014,0,1.0554,0,6.121,0,0.015,0,0.362,1,0.001,1,0.9748,1,0.352,1,0.001,
PS114,009_04,5.047,78.6073,15,749,13.485,0,0.021,0,1,0,13.485,0,0.021,0,0.994,0,0,0,0.9087,0,0.903,0,0,0,0.01,0,0,0,0.7291,0,0.007,0,0,0,6.9,0,0,0,1.0554,0,7.282,0,0,0,0.364,1,0.001,1,0.9748,1,0.355,1,0.001,
PS114,009_04,5.047,78.6073,10,999,13.76,0,0.028,0,1,0,13.76,0,0.028,0,1.022,0,0,0,0.9087,0,0.929,0,0,0,0.007,0,0.001,0,0.7291,0,0.005,0,0.001,0,7.98,0,0.014,0,1.0554,0,8.422,0,0.015,0,0.36,1,0.001,1,0.9748,1,0.35,1,0.001,
